file_num,picFile,cat,type,mean_label,mean_sound,zLabel,zSound,ordered_label,ordered_sound
baby_pic_3.jpg,baby_pic_both,baby,both,4.761904761904762,4.4,0.48558769234633586,0.8133320288143068,b,b
baby_pic_4.jpg,baby_pic_label,baby,label,4.809523809523808,2.25,0.5422986637152496,-0.7526356087535373,a,c
baby_pic_6.jpg,baby_pic_neither,baby,neither,3.095238095238096,1.95,-1.4992963055656905,-0.9711427209723061,d,d
baby_pic_8.jpg,baby_pic_sound,baby,sound,4.75,4.533333333333333,0.47140994950410714,0.9104463009115371,c,a
bee_pic_1.jpg,bee_pic_label,bee,label,4.857142857142857,3.7,0.9253761166946608,-0.09067348497206545,a,c
bee_pic_4.jpg,bee_pic_both,bee,both,4.809523809523808,4.55,0.8040153145051953,0.9369593447113402,b,a
bee_pic_5.jpg,bee_pic_neither,bee,neither,4.142857142857143,2.65,-0.8950359161472927,-1.3601022745809792,d,d
bee_pic_9.jpg,bee_pic_sound,bee,sound,4.166666666666667,4.2,-0.8343555150525611,0.5138164148417028,c,b
bird_pic_12.jpg,bird_pic_neither,bird,neither,3.1904761904761907,1.75,-1.465280719168632,-0.8005569020754668,d,c
bird_pic_13.jpg,bird_pic_label,bird,label,4.571428571428571,1.55,0.20932581702409012,-0.922160482137563,c,d
bird_pic_14.jpg,bird_pic_sound,bird,sound,4.833333333333333,4.666666666666667,0.5269236083709857,0.9728286404967702,b,a
bird_pic_8.jpg,bird_pic_both,bird,both,5.0,4.3,0.7290312937735561,0.7498887437162602,a,b
bowling_pic_1.jpg,bowling_pic_label,bowling,label,5.0,1.7,1.442673682681373,-1.2851089380721914,a,d
bowling_pic_15.jpg,bowling_pic_both,bowling,both,3.9166666666666665,4.266666666666667,-0.18312576157875052,0.6792263121820765,b,b
bowling_pic_2.jpg,bowling_pic_neither,bowling,neither,3.4761904761904763,3.0,-0.844165096058141,-0.2901858892421076,d,c
bowling_pic_8.jpg,bowling_pic_sound,bowling,sound,3.761904761904762,4.55,-0.41538282504448226,0.896068515132223,c,a
car_pic_2.jpg,car_pic_label,car,label,4.9523809523809526,2.6,0.9103445436831366,-0.25523942562503077,a,c
car_pic_3.jpg,car_pic_sound,car,sound,2.619047619047619,4.8,-0.8519026717429842,1.2761971281251536,c,a
car_pic_8.jpg,car_pic_both,car,both,4.833333333333333,3.1333333333333333,0.8204339714675178,0.11601792073865023,b,b
car_pic_9.jpg,car_pic_neither,car,neither,2.583333333333333,1.3333333333333333,-0.8788758434076699,-1.1369756232387735,d,d
cat_pic_10.jpg,cat_pic_neither,cat,neither,2.761904761904762,1.65,-1.4180146509254539,-1.3619600085667196,d,d
cat_pic_2.jpg,cat_pic_label,cat,label,4.9523809523809526,3.3,0.7032430382638429,-0.05921565254637891,b,c
cat_pic_7.jpg,cat_pic_sound,cat,sound,4.238095238095238,3.95,0.011528574397767874,0.4539866695222404,c,b
cat_pic_9.jpg,cat_pic_both,cat,both,4.9523809523809526,4.6,0.7032430382638429,0.967188991590859,a,a
chain_pic_10.jpg,chain_pic_label,chain,label,4.904761904761905,3.0,0.7719955035078536,-0.48097932166749024,b,c
chain_pic_11.jpg,chain_pic_neither,chain,neither,4.083333333333333,2.8,-0.739144631018157,-0.8155736323927011,c,d
chain_pic_3.jpg,chain_pic_both,chain,both,5.0,3.2,0.9472001567862308,-0.14638501094227946,a,b
chain_pic_9.jpg,chain_pic_sound,chain,sound,3.952380952380953,4.15,-0.9800510292759249,1.4429379650024707,d,a
dog_pic_1.jpg,dog_pic_label,dog,label,4.761904761904762,2.1,1.102378720218261,-1.0577788630490514,a,d
dog_pic_13.jpg,dog_pic_both,dog,both,4.6190476190476195,4.05,0.4798589723303024,1.2663549768897098,b,a
dog_pic_15.jpg,dog_pic_neither,dog,neither,4.238095238095238,2.6,-1.1801936887042617,-0.4618471092185997,d,c
dog_pic_16.jpg,dog_pic_sound,dog,sound,4.416666666666667,3.2,-0.40204400384430955,0.2532709953779424,c,b
key_pic_2.jpg,key_pic_neither,key,neither,4.904761904761905,3.45,0.700763150948909,-0.06191584503738876,a,b
key_pic_3.jpg,key_pic_both,key,both,4.761904761904762,4.85,0.5291476854104,1.324999083800119,b,a
key_pic_4.jpg,key_pic_label,key,label,4.523809523809524,2.4,0.243121909512886,-1.1021020416655203,c,d
key_pic_5.jpg,key_pic_sound,key,sound,3.095238095238096,3.35,-1.473032745872197,-0.16098119709721087,d,c
scissors_pic_2.jpg,scissors_pic_label,scissors,label,4.9523809523809526,2.5,1.0981907596363505,-0.5720163083117111,a,c
scissors_pic_3.jpg,scissors_pic_sound,scissors,sound,3.952380952380953,4.25,0.03786864688401288,0.7853105249703148,c,b
scissors_pic_4.jpg,scissors_pic_both,scissors,both,4.095238095238095,4.4,0.18934323442006018,0.9016528249659174,b,a
scissors_pic_7.jpg,scissors_pic_neither,scissors,neither,2.6666666666666665,1.8,-1.3254026409404227,-1.1149470416245215,d,d
