name,ROW_ID,category,cueType,sound_file,block,trialIndex_new,sinceImageOnset,eventStart,eventEnd,eventImageFile,eventImageLoc,zSound,ordered_sound
TYS_104,11,baby,sound,baby_sound.wav,4,78,715.3604029999999,529.3604029999999,715.3604029999999,baby_pic_both.jpg,right_up,0.8133320288143068,b
TYS_104,12,baby,sound,baby_sound.wav,1,6,771.3526490000002,613.3526490000002,771.3526490000002,baby_pic_neither.jpg,left_up,-0.971142720972306,d
TYS_104,13,baby,sound,baby_sound.wav,4,69,1042.263269,758.263269,1042.263269,baby_pic_neither.jpg,right_up,-0.971142720972306,d
TYS_104,15,baby,label,baby_label.wav,1,9,840.316594,606.316594,840.316594,baby_pic_neither.jpg,right_up,-0.971142720972306,d
TYS_104,16,baby,label,baby_label.wav,1,16,709.957302,531.957302,709.957302,baby_pic_both.jpg,right_up,0.8133320288143068,b
TYS_104,17,baby,label,baby_label.wav,1,13,1329.240561,1105.240561,1329.240561,baby_pic_sound.jpg,left_up,0.9104463009115372,a
TYS_104,18,baby,label,baby_label.wav,3,47,594.234884,450.23488399999997,594.234884,baby_pic_neither.jpg,right_up,-0.971142720972306,d
TYS_104,19,bee,sound,bee_sound.wav,2,35,1091.20822,901.20822,1091.20822,bee_pic_both.jpg,left_down,0.9369593447113402,a
TYS_104,20,bee,sound,bee_sound.wav,4,76,1619.136214,1383.136214,1619.136214,bee_pic_label.jpg,left_down,-0.09067348497206544,c
TYS_104,21,bee,sound,bee_sound.wav,3,45,1102.040291,590.040291,1102.040291,bee_pic_both.jpg,right_up,0.9369593447113402,a
TYS_104,22,bee,sound,bee_sound.wav,2,38,519.5099120000001,343.5099120000001,519.5099120000001,bee_pic_both.jpg,left_up,0.9369593447113402,a
TYS_104,23,bee,label,bee_label.wav,4,71,721.0150359999999,537.0150359999999,721.0150359999999,bee_pic_neither.jpg,left_down,-1.3601022745809792,d
TYS_104,24,bee,label,bee_label.wav,3,48,559.1002699999999,403.1002699999999,559.1002699999999,bee_pic_sound.jpg,right_up,0.5138164148417028,b
