worker,baby,bee,bird,bowling,car,cat,chain,dog,key,scissors
A1SU8C0D1IJYTN,Baby,Bee,Bird,Bowling pin,Car horn,Cat,Chain saw,Dog,Keyboard,Recycle Bin
A18PC9QU8N3DXS,baby,cow,bird,train,car horn,cat,chainsaw,dog,typewriter,paper crumple
AOT04CJ43L5V1,baby,fly,birds,bowling alley,car horn,cat,chainsaw,dog,keyboard,computer recycle bin
A22XK2FSFIAAFG,15% left,center,20%right,10%left,15%left,center,center,front 15%left,30% left,10%left
AFB9N61OMZXCX,cat,bee,bird,bowling,car horn,car,chainsaw,dog,typing,slide projector
A2YFPO0N4GIS25,baby,insect,bird,rocks,horn,cat,chainsaw,dog,sticks,gun
ATHS9GUME1XCA,baby,bee,bird,papers,horn,cat,saw,dog,typewriter,typewriter
APWXTMJO1I1ST,baby crying,bee,chirping,bowling,horn,meow,cow,barking,clocking,gun
A3O1L0034OG341,Baby,bee,Bird,bottles,Car horn,Cat,power tool,dog,typing,papers
A3G9MSZVWB7W42,baby crying,mosquito,birds chirping,bowling pins,car horn,cat meowing,chainsaw,dog barking,someone typing,cash register
AS8T4IKYL4V7F,crying baby,bee buzz,chirping bird,bowling,car horn,meow,chainsaw,barking dog,typing,mechanical
A3UX6ETXQOCG65,cat,bee,bird,clap,horn,cat,weedwacker,dog,phone,paper
A32UO0DUJ1NX5J,baby crying,bee,bird,bowling pins being hit by bowling ball,car horn,cat meow,chainsaw,dog,typewriter,woodcutter
A2AGQGMZVSZVUJ,baby,human,bird,bowling pins,car,cat,drill,dog,pencil,typwriter
A3E4ZCE28KQDIK,baby crying,bee buzzing,bird chirping,bowling pins,car horn,cat,chain saw,dog,keyboard,paper ripping
A2EEUQ0YY2XIU,A crying baby,A buzzing insect,Bird tweeting,Bowling pins being knocked over. ,A car horn,A cat meowing,A chainsaw,Dog barking,A keyboard being typed upon,Rustling paper
A1A8A4W7MZFOV6,baby,fly,bird,bowling,horn,kitten,chainsaw,dog,handle,pogostick
A1O3MVFBZ107KT,baby,weedeater,bird,bowling pins,car,cat,weedeater,dog,keyboard,copier
A2S96ZZ70YFPSK,baby,trumpet,bird,wheel,horn,cat,engine,bark,drum,paper
oidqpxazvzqmwzkvaygu,baby,fart,bird,bowling lane,car horn,cat,sheep,dog,keyboard,paper
A3QB0Z9AN62HFH,cat,giraffe,bird,turtle,car,kitten,chainsaw,dog,bird,motor
A347XXV5JH19PB,baby,fly,bird,train,car horn,cat,lawn equipment,dog,typing,papers flipping
A4IMEFOFPQIXW,baby,bees,bird,bowling pins,car horn,cat,chainsaw,dog,computer,cash register
A2OW2CIT4H7364,cat,bee,bird,slot machine,horn,cat,weed wacker,dog,keys,paper
AKFWAW2AJ5DOQ,Baby crying,Bees,Bird,Bowling pins,Car horn,Cat,Chainsaw,Dog,Keyboard,Ripping paper
A37AMANTOKWVWA,baby crying,fly,birds,bowling,car beeping its horn,cat,lawnmower,dog barking,typing,paper being stapled
A121OZ86DFS19V,bird parrot,disc sander grinding,song bird,old fashoned adding machine,car horn,cat,washboard,dog barking,stappler,scraper on paint
ACFBUSLSNUGRU,baby,bees,birds,rain,horn,cat,motorcycle,dog,typing,paper
A3W1LG4JXLNCL,baby,weed wacker,birds,pins,car,human baby,weed wacker,dog,door,birds
ABOEYY9Y0PFRI,baby,cow,bird,bowling alley sounds,car horn,cat,cow,bird,typing on keyboard,shuffling papers
