"subjCode","seed","trialID","valid_cue","cue_type","pic_version","pic_category","pic_type","pic_id","cue_category","cue_version","pic_file","cue_file","block","whichPart","curTrialIndex","isRight","rt","compliance","age","gender","nativeSpeaker","exp","expC","cue_typeC","snd_type","snd_typeC","lbl_type","lbl_typeC","trial_type"
"TYO_102",102,"bird_label_A:bird_hawk_1",1,"label","A","bird","hawk",1,"bird","A","bird_hawk_1","bird_label_A",0,"test",0,1,684.75554348,4,18,"Male","No","tyo",0.5,-0.5,NA,NA,"female",-0.5,"label"
"TYO_102",102,"guitar_label_B:guitar_acoustic_2",1,"label","B","guitar","acoustic",2,"guitar","B","guitar_acoustic_2","guitar_label_B",0,"test",1,1,338.788768277,4,18,"Male","No","tyo",0.5,-0.5,NA,NA,"male",0.5,"label"
"TYO_102",102,"bird_label_B:bird_song_2",1,"label","B","bird","song",2,"bird","B","bird_song_2","bird_label_B",0,"test",4,1,442.755315045,4,18,"Male","No","tyo",0.5,-0.5,NA,NA,"male",0.5,"label"
"TYO_102",102,"bird_sound_A:bird_hawk_2",1,"sound","A","bird","hawk",2,"bird","A","bird_hawk_2","bird_sound_A",0,"test",7,1,338.373875013,4,18,"Male","No","tyo",0.5,0.5,"congruent",0.5,NA,NA,"congruent"
"TYO_102",102,"phone_label_B:phone_rotary_2",1,"label","B","phone","rotary",2,"phone","B","phone_rotary_2","phone_label_B",0,"test",8,1,520.975695516,4,18,"Male","No","tyo",0.5,-0.5,NA,NA,"male",0.5,"label"
"TYO_102",102,"dog_label_B:dog_york_1",1,"label","B","dog","york",1,"dog","B","dog_york_1","dog_label_B",0,"test",9,1,431.330507854,4,18,"Male","No","tyo",0.5,-0.5,NA,NA,"male",0.5,"label"
"TYO_102",102,"guitar_label_B:guitar_acoustic_1",1,"label","B","guitar","acoustic",1,"guitar","B","guitar_acoustic_1","guitar_label_B",0,"test",10,1,485.862824076,4,18,"Male","No","tyo",0.5,-0.5,NA,NA,"male",0.5,"label"
"TYO_102",102,"phone_sound_B:phone_rotary_2",1,"sound","B","phone","rotary",2,"phone","B","phone_rotary_2","phone_sound_B",0,"test",11,1,449.477035494,4,18,"Male","No","tyo",0.5,0.5,"congruent",0.5,NA,NA,"congruent"
"TYO_102",102,"dog_label_B:dog_york_2",1,"label","B","dog","york",2,"dog","B","dog_york_2","dog_label_B",0,"test",16,1,281.867847661,4,18,"Male","No","tyo",0.5,-0.5,NA,NA,"male",0.5,"label"
"TYO_102",102,"guitar_sound_A:guitar_electric_1",1,"sound","A","guitar","electric",1,"guitar","A","guitar_electric_1","guitar_sound_A",0,"test",17,1,339.938789606,4,18,"Male","No","tyo",0.5,0.5,"congruent",0.5,NA,NA,"congruent"
"TYO_102",102,"phone_sound_B:phone_rotary_1",1,"sound","B","phone","rotary",1,"phone","B","phone_rotary_1","phone_sound_B",0,"test",19,1,382.275553304,4,18,"Male","No","tyo",0.5,0.5,"congruent",0.5,NA,NA,"congruent"
"TYO_102",102,"drum_label_A:drum_kit_1",1,"label","A","drum","kit",1,"drum","A","drum_kit_1","drum_label_A",0,"test",23,1,738.356034271,4,18,"Male","No","tyo",0.5,-0.5,NA,NA,"female",-0.5,"label"
"TYO_102",102,"bird_sound_A:bird_hawk_2",1,"sound","A","bird","hawk",2,"bird","A","bird_hawk_2","bird_sound_A",0,"test",24,1,304.237430624,4,18,"Male","No","tyo",0.5,0.5,"congruent",0.5,NA,NA,"congruent"
"TYO_102",102,"phone_label_B:phone_rotary_1",1,"label","B","phone","rotary",1,"phone","B","phone_rotary_1","phone_label_B",0,"test",25,1,603.693159937,4,18,"Male","No","tyo",0.5,-0.5,NA,NA,"male",0.5,"label"
"TYO_102",102,"dog_label_B:dog_york_1",1,"label","B","dog","york",1,"dog","B","dog_york_1","dog_label_B",0,"test",26,1,402.414723882,4,18,"Male","No","tyo",0.5,-0.5,NA,NA,"male",0.5,"label"
"TYO_102",102,"dog_sound_B:dog_york_2",1,"sound","B","dog","york",2,"dog","B","dog_york_2","dog_sound_B",0,"test",28,1,481.77934991,4,18,"Male","No","tyo",0.5,0.5,"congruent",0.5,NA,NA,"congruent"
"TYO_102",102,"bird_sound_A:bird_hawk_1",1,"sound","A","bird","hawk",1,"bird","A","bird_hawk_1","bird_sound_A",0,"test",31,1,432.075262244,4,18,"Male","No","tyo",0.5,0.5,"congruent",0.5,NA,NA,"congruent"
"TYO_102",102,"dog_label_A:dog_rott_1",1,"label","A","dog","rott",1,"dog","A","dog_rott_1","dog_label_A",0,"test",32,1,744.796987856,4,18,"Male","No","tyo",0.5,-0.5,NA,NA,"female",-0.5,"label"
