"name","ROW_ID","cueType","weighted_zSound","cueTypeC"
"TYS_104",100,"sound",0.342765964981383,0.5
"TYS_104",101,"sound",1.02470269012432,0.5
"TYS_104",103,"label",0.130000025,-0.5
"TYS_104",104,"label",-0.166377158754342,-0.5
"TYS_104",105,"label",0.306766491820359,-0.5
"TYS_104",106,"label",0.760094316339623,-0.5
"TYS_104",107,"sound",0.0951203516542669,0.5
"TYS_104",108,"sound",-1.419999957,0.5
"TYS_104",109,"sound",-0.88750001775,0.5
"TYS_104",11,"sound",-0.0392537334776121,0.5
"TYS_104",110,"sound",0.939999998,0.5
"TYS_104",111,"label",1.220499975725,-0.5
"TYS_104",112,"label",-0.0249311313526171,-0.5
"TYS_104",113,"label",-0.0820647841376519,-0.5
"TYS_104",114,"label",1.279999971,-0.5
"TYS_104",115,"sound",0.240434773782609,0.5
"TYS_104",116,"sound",0.0824596746895162,0.5
"TYS_104",117,"sound",0.0495945725,0.5
"TYS_104",118,"sound",-0.0297338409049429,0.5
"TYS_104",119,"label",-0.455680281078231,-0.5
"TYS_104",12,"sound",-0.739953163208431,0.5
"TYS_104",120,"label",-0.315384619384615,-0.5
"TYS_104",121,"label",-0.352409644341365,-0.5
"TYS_104",122,"label",-0.550455631558753,-0.5
"TYS_104",123,"sound",0.546144378832747,0.5
"TYS_104",124,"sound",-0.676253946174603,0.5
"TYS_104",125,"sound",0.250889984425566,0.5
"TYS_104",126,"sound",0.672175840046154,0.5
"TYS_104",127,"label",1.220000029,-0.5
"TYS_104",128,"label",-0.0975051445896907,-0.5
"TYS_104",129,"label",-0.752295066874317,-0.5
"TYS_104",13,"sound",-0.31870294658159,0.5
"TYS_104",130,"label",0.883556721757732,-0.5
"TYS_104",131,"sound",-0.819999993,0.5
"TYS_104",133,"sound",0.207597273631579,0.5
"TYS_104",134,"sound",-0.0264469875186246,0.5
"TYS_104",135,"label",0.059999999,-0.5
"TYS_104",136,"label",-0.819999993,-0.5
"TYS_104",137,"label",0.15741983953207,-0.5
"TYS_104",138,"label",0.39981026473055,-0.5
"TYS_104",140,"sound",0.544873958680672,0.5
"TYS_104",141,"sound",-0.150596333105505,0.5
"TYS_104",142,"sound",-0.143951221887805,0.5
"TYS_104",143,"label",0.202043020387097,-0.5
"TYS_104",144,"label",-0.449999988,-0.5
"TYS_104",145,"label",0.08402542525,-0.5
"TYS_104",147,"sound",0.151142848357143,0.5
"TYS_104",148,"sound",0.403058405175258,0.5
"TYS_104",149,"sound",-0.0923788855110133,0.5
"TYS_104",15,"label",-0.423371313189066,-0.5
"TYS_104",150,"sound",-0.297081341607656,0.5
"TYS_104",152,"label",0.910000026,-0.5
"TYS_104",153,"label",1.00809523806227,-0.5
"TYS_104",154,"label",-1.470000029,-0.5
"TYS_104",155,"sound",-0.564328332641791,0.5
"TYS_104",156,"sound",-1.809999943,0.5
"TYS_104",158,"sound",-0.639999986,0.5
"TYS_104",159,"label",-0.9799999745,-0.5
"TYS_104",16,"label",0.400249211077882,-0.5
"TYS_104",160,"label",-0.776807673930769,-0.5
"TYS_104",161,"label",-0.887026448604888,-0.5
"TYS_104",162,"label",0.100341112445242,-0.5
"TYS_104",163,"sound",0.275714261,0.5
"TYS_104",164,"sound",1.029999971,0.5
"TYS_104",165,"sound",0.697999980272727,0.5
"TYS_104",166,"sound",0.889999986,0.5
"TYS_104",167,"label",0.257755077428571,-0.5
"TYS_104",168,"label",-0.132118235428572,-0.5
"TYS_104",169,"label",0.310511344252841,-0.5
"TYS_104",17,"label",0.512150157723549,-0.5
"TYS_104",170,"label",1.029999971,-0.5
