"name","ROW_ID","cueType","image","duration","cueTypeC","a_v_bcd","b_v_cd","c_v_d"
"TYS_104",11,"sound","a",0,0.5,0.75,0,0
"TYS_104",12,"sound","a",144,0.5,0.75,0,0
"TYS_104",13,"sound","a",0,0.5,0.75,0,0
"TYS_104",15,"label","a",300,-0.5,0.75,0,0
"TYS_104",16,"label","a",246,-0.5,0.75,0,0
"TYS_104",17,"label","a",224,-0.5,0.75,0,0
"TYS_104",18,"label","a",440,-0.5,0.75,0,0
"TYS_104",19,"sound","a",190,0.5,0.75,0,0
"TYS_104",20,"sound","a",0,0.5,0.75,0,0
"TYS_104",21,"sound","a",512,0.5,0.75,0,0
"TYS_104",22,"sound","a",176,0.5,0.75,0,0
"TYS_104",23,"label","a",280,-0.5,0.75,0,0
"TYS_104",24,"label","a",162,-0.5,0.75,0,0
"TYS_104",25,"label","a",0,-0.5,0.75,0,0
"TYS_104",27,"sound","a",606,0.5,0.75,0,0
"TYS_104",28,"sound","a",160,0.5,0.75,0,0
"TYS_104",29,"sound","a",240,0.5,0.75,0,0
"TYS_104",30,"sound","a",0,0.5,0.75,0,0
"TYS_104",31,"label","a",0,-0.5,0.75,0,0
"TYS_104",32,"label","a",0,-0.5,0.75,0,0
"TYS_104",33,"label","a",0,-0.5,0.75,0,0
"TYS_104",34,"label","a",0,-0.5,0.75,0,0
"TYS_104",35,"sound","a",244,0.5,0.75,0,0
"TYS_104",36,"sound","a",150,0.5,0.75,0,0
"TYS_104",37,"sound","a",0,0.5,0.75,0,0
"TYS_104",38,"sound","a",180,0.5,0.75,0,0
"TYS_104",39,"label","a",606,-0.5,0.75,0,0
"TYS_104",40,"label","a",146,-0.5,0.75,0,0
"TYS_104",41,"label","a",174,-0.5,0.75,0,0
"TYS_104",42,"label","a",158,-0.5,0.75,0,0
"TYS_104",43,"sound","a",218,0.5,0.75,0,0
"TYS_104",44,"sound","a",382,0.5,0.75,0,0
"TYS_104",45,"sound","a",0,0.5,0.75,0,0
"TYS_104",46,"sound","a",0,0.5,0.75,0,0
"TYS_104",49,"label","a",110,-0.5,0.75,0,0
"TYS_104",50,"label","a",126,-0.5,0.75,0,0
"TYS_104",51,"sound","a",0,0.5,0.75,0,0
"TYS_104",52,"sound","a",380,0.5,0.75,0,0
"TYS_104",53,"sound","a",122,0.5,0.75,0,0
"TYS_104",54,"sound","a",162,0.5,0.75,0,0
"TYS_104",55,"label","a",0,-0.5,0.75,0,0
"TYS_104",56,"label","a",248,-0.5,0.75,0,0
"TYS_104",57,"label","a",330,-0.5,0.75,0,0
"TYS_104",58,"label","a",0,-0.5,0.75,0,0
"TYS_104",59,"sound","a",200,0.5,0.75,0,0
"TYS_104",60,"sound","a",314,0.5,0.75,0,0
"TYS_104",61,"sound","a",186,0.5,0.75,0,0
"TYS_104",62,"sound","a",0,0.5,0.75,0,0
"TYS_104",63,"label","a",246,-0.5,0.75,0,0
"TYS_104",64,"label","a",0,-0.5,0.75,0,0
"TYS_104",65,"label","a",250,-0.5,0.75,0,0
"TYS_104",66,"label","a",176,-0.5,0.75,0,0
"TYS_104",67,"sound","a",404,0.5,0.75,0,0
"TYS_104",68,"sound","a",0,0.5,0.75,0,0
"TYS_104",69,"sound","a",486,0.5,0.75,0,0
"TYS_104",70,"sound","a",0,0.5,0.75,0,0
"TYS_104",71,"label","a",196,-0.5,0.75,0,0
"TYS_104",72,"label","a",372,-0.5,0.75,0,0
"TYS_104",73,"label","a",0,-0.5,0.75,0,0
"TYS_104",74,"label","a",0,-0.5,0.75,0,0
"TYS_104",75,"sound","a",248,0.5,0.75,0,0
"TYS_104",76,"sound","a",226,0.5,0.75,0,0
"TYS_104",77,"sound","a",268,0.5,0.75,0,0
"TYS_104",79,"label","a",274,-0.5,0.75,0,0
"TYS_104",80,"label","a",94,-0.5,0.75,0,0
"TYS_104",83,"sound","a",132,0.5,0.75,0,0
"TYS_104",84,"sound","a",0,0.5,0.75,0,0
"TYS_104",85,"sound","a",0,0.5,0.75,0,0
"TYS_104",86,"sound","a",0,0.5,0.75,0,0
"TYS_104",87,"label","a",0,-0.5,0.75,0,0
"TYS_104",88,"label","a",226,-0.5,0.75,0,0
"TYS_104",89,"label","a",0,-0.5,0.75,0,0
"TYS_104",90,"label","a",340,-0.5,0.75,0,0
"TYS_104",91,"sound","a",0,0.5,0.75,0,0
"TYS_104",92,"sound","a",366,0.5,0.75,0,0
"TYS_104",93,"sound","a",198,0.5,0.75,0,0
"TYS_104",94,"sound","a",136,0.5,0.75,0,0
"TYS_104",95,"label","a",222,-0.5,0.75,0,0
"TYS_104",96,"label","a",92,-0.5,0.75,0,0
"TYS_104",97,"label","a",182,-0.5,0.75,0,0
"TYS_104",98,"label","a",0,-0.5,0.75,0,0
"TYS_104",99,"sound","a",0,0.5,0.75,0,0
"TYS_104",100,"sound","a",194,0.5,0.75,0,0
"TYS_104",101,"sound","a",202,0.5,0.75,0,0
"TYS_104",103,"label","a",0,-0.5,0.75,0,0
"TYS_104",104,"label","a",0,-0.5,0.75,0,0
"TYS_104",105,"label","a",0,-0.5,0.75,0,0
"TYS_104",106,"label","a",204,-0.5,0.75,0,0
"TYS_104",107,"sound","a",152,0.5,0.75,0,0
"TYS_104",108,"sound","a",0,0.5,0.75,0,0
"TYS_104",109,"sound","a",150,0.5,0.75,0,0
"TYS_104",110,"sound","a",0,0.5,0.75,0,0
"TYS_104",111,"label","a",660,-0.5,0.75,0,0
"TYS_104",112,"label","a",168,-0.5,0.75,0,0
"TYS_104",113,"label","a",0,-0.5,0.75,0,0
"TYS_104",114,"label","a",426,-0.5,0.75,0,0
"TYS_104",115,"sound","a",330,0.5,0.75,0,0
"TYS_104",116,"sound","a",102,0.5,0.75,0,0
"TYS_104",117,"sound","a",376,0.5,0.75,0,0
"TYS_104",118,"sound","a",264,0.5,0.75,0,0
"TYS_104",119,"label","a",200,-0.5,0.75,0,0
"TYS_104",120,"label","a",0,-0.5,0.75,0,0
"TYS_104",121,"label","a",296,-0.5,0.75,0,0
"TYS_104",122,"label","a",0,-0.5,0.75,0,0
"TYS_104",123,"sound","a",186,0.5,0.75,0,0
"TYS_104",124,"sound","a",194,0.5,0.75,0,0
"TYS_104",125,"sound","a",452,0.5,0.75,0,0
"TYS_104",126,"sound","a",498,0.5,0.75,0,0
"TYS_104",127,"label","a",182,-0.5,0.75,0,0
"TYS_104",128,"label","a",192,-0.5,0.75,0,0
"TYS_104",129,"label","a",0,-0.5,0.75,0,0
"TYS_104",130,"label","a",174,-0.5,0.75,0,0
"TYS_104",131,"sound","a",0,0.5,0.75,0,0
"TYS_104",133,"sound","a",276,0.5,0.75,0,0
"TYS_104",134,"sound","a",0,0.5,0.75,0,0
"TYS_104",135,"label","a",0,-0.5,0.75,0,0
"TYS_104",136,"label","a",0,-0.5,0.75,0,0
"TYS_104",137,"label","a",324,-0.5,0.75,0,0
"TYS_104",138,"label","a",354,-0.5,0.75,0,0
"TYS_104",140,"sound","a",338,0.5,0.75,0,0
"TYS_104",141,"sound","a",0,0.5,0.75,0,0
"TYS_104",142,"sound","a",0,0.5,0.75,0,0
"TYS_104",143,"label","a",336,-0.5,0.75,0,0
"TYS_104",144,"label","a",0,-0.5,0.75,0,0
"TYS_104",145,"label","a",110,-0.5,0.75,0,0
"TYS_104",147,"sound","a",168,0.5,0.75,0,0
"TYS_104",148,"sound","a",220,0.5,0.75,0,0
"TYS_104",149,"sound","a",382,0.5,0.75,0,0
"TYS_104",150,"sound","a",0,0.5,0.75,0,0
"TYS_104",152,"label","a",0,-0.5,0.75,0,0
"TYS_104",153,"label","a",206,-0.5,0.75,0,0
"TYS_104",154,"label","a",0,-0.5,0.75,0,0
"TYS_104",155,"sound","a",104,0.5,0.75,0,0
"TYS_104",156,"sound","a",0,0.5,0.75,0,0
"TYS_104",158,"sound","a",0,0.5,0.75,0,0
"TYS_104",159,"label","a",0,-0.5,0.75,0,0
"TYS_104",160,"label","a",0,-0.5,0.75,0,0
"TYS_104",161,"label","a",130,-0.5,0.75,0,0
"TYS_104",162,"label","a",398,-0.5,0.75,0,0
"TYS_104",163,"sound","a",240,0.5,0.75,0,0
"TYS_104",164,"sound","a",280,0.5,0.75,0,0
"TYS_104",165,"sound","a",366,0.5,0.75,0,0
"TYS_104",166,"sound","a",0,0.5,0.75,0,0
"TYS_104",167,"label","a",330,-0.5,0.75,0,0
"TYS_104",168,"label","a",0,-0.5,0.75,0,0
"TYS_104",169,"label","a",164,-0.5,0.75,0,0
"TYS_104",170,"label","a",176,-0.5,0.75,0,0
"TYS_120",11,"sound","a",596,0.5,0.75,0,0
"TYS_120",12,"sound","a",936,0.5,0.75,0,0
"TYS_120",13,"sound","a",0,0.5,0.75,0,0
"TYS_120",14,"sound","a",574,0.5,0.75,0,0
"TYS_120",15,"label","a",228,-0.5,0.75,0,0
"TYS_120",16,"label","a",410,-0.5,0.75,0,0
"TYS_120",17,"label","a",342,-0.5,0.75,0,0
"TYS_120",18,"label","a",0,-0.5,0.75,0,0
"TYS_120",19,"sound","a",0,0.5,0.75,0,0
"TYS_120",20,"sound","a",0,0.5,0.75,0,0
"TYS_120",21,"sound","a",0,0.5,0.75,0,0
"TYS_120",22,"sound","a",0,0.5,0.75,0,0
"TYS_120",23,"label","a",586,-0.5,0.75,0,0
"TYS_120",24,"label","a",0,-0.5,0.75,0,0
"TYS_120",25,"label","a",428,-0.5,0.75,0,0
"TYS_120",26,"label","a",280,-0.5,0.75,0,0
"TYS_120",27,"sound","a",310,0.5,0.75,0,0
"TYS_120",28,"sound","a",0,0.5,0.75,0,0
"TYS_120",29,"sound","a",166,0.5,0.75,0,0
"TYS_120",30,"sound","a",186,0.5,0.75,0,0
"TYS_120",31,"label","a",0,-0.5,0.75,0,0
"TYS_120",32,"label","a",336,-0.5,0.75,0,0
"TYS_120",33,"label","a",0,-0.5,0.75,0,0
"TYS_120",34,"label","a",304,-0.5,0.75,0,0
"TYS_120",35,"sound","a",360,0.5,0.75,0,0
"TYS_120",36,"sound","a",432,0.5,0.75,0,0
"TYS_120",37,"sound","a",0,0.5,0.75,0,0
"TYS_120",38,"sound","a",240,0.5,0.75,0,0
"TYS_120",39,"label","a",382,-0.5,0.75,0,0
"TYS_120",40,"label","a",0,-0.5,0.75,0,0
"TYS_120",41,"label","a",160,-0.5,0.75,0,0
"TYS_120",42,"label","a",60,-0.5,0.75,0,0
"TYS_120",43,"sound","a",326,0.5,0.75,0,0
"TYS_120",44,"sound","a",154,0.5,0.75,0,0
"TYS_120",45,"sound","a",530,0.5,0.75,0,0
"TYS_120",46,"sound","a",0,0.5,0.75,0,0
"TYS_120",47,"label","a",572,-0.5,0.75,0,0
"TYS_120",48,"label","a",368,-0.5,0.75,0,0
"TYS_120",49,"label","a",396,-0.5,0.75,0,0
"TYS_120",50,"label","a",516,-0.5,0.75,0,0
"TYS_120",51,"sound","a",0,0.5,0.75,0,0
"TYS_120",52,"sound","a",876,0.5,0.75,0,0
"TYS_120",53,"sound","a",440,0.5,0.75,0,0
"TYS_120",54,"sound","a",478,0.5,0.75,0,0
"TYS_120",55,"label","a",316,-0.5,0.75,0,0
"TYS_120",56,"label","a",0,-0.5,0.75,0,0
"TYS_120",57,"label","a",420,-0.5,0.75,0,0
"TYS_120",58,"label","a",0,-0.5,0.75,0,0
"TYS_120",59,"sound","a",512,0.5,0.75,0,0
"TYS_120",60,"sound","a",424,0.5,0.75,0,0
"TYS_120",61,"sound","a",936,0.5,0.75,0,0
"TYS_120",62,"sound","a",1012,0.5,0.75,0,0
"TYS_120",63,"label","a",0,-0.5,0.75,0,0
"TYS_120",64,"label","a",296,-0.5,0.75,0,0
"TYS_120",65,"label","a",0,-0.5,0.75,0,0
"TYS_120",66,"label","a",0,-0.5,0.75,0,0
"TYS_120",67,"sound","a",1244,0.5,0.75,0,0
"TYS_120",68,"sound","a",450,0.5,0.75,0,0
"TYS_120",69,"sound","a",864,0.5,0.75,0,0
"TYS_120",70,"sound","a",0,0.5,0.75,0,0
"TYS_120",71,"label","a",430,-0.5,0.75,0,0
"TYS_120",72,"label","a",0,-0.5,0.75,0,0
"TYS_120",73,"label","a",0,-0.5,0.75,0,0
"TYS_120",74,"label","a",0,-0.5,0.75,0,0
"TYS_120",75,"sound","a",728,0.5,0.75,0,0
"TYS_120",76,"sound","a",300,0.5,0.75,0,0
"TYS_120",77,"sound","a",1028,0.5,0.75,0,0
"TYS_120",78,"sound","a",784,0.5,0.75,0,0
"TYS_120",79,"label","a",0,-0.5,0.75,0,0
"TYS_120",80,"label","a",0,-0.5,0.75,0,0
"TYS_120",81,"label","a",398,-0.5,0.75,0,0
"TYS_120",82,"label","a",566,-0.5,0.75,0,0
"TYS_120",83,"sound","a",284,0.5,0.75,0,0
"TYS_120",84,"sound","a",0,0.5,0.75,0,0
"TYS_120",86,"sound","a",240,0.5,0.75,0,0
"TYS_120",87,"label","a",0,-0.5,0.75,0,0
"TYS_120",88,"label","a",714,-0.5,0.75,0,0
"TYS_120",89,"label","a",0,-0.5,0.75,0,0
"TYS_120",90,"label","a",0,-0.5,0.75,0,0
"TYS_120",91,"sound","a",0,0.5,0.75,0,0
"TYS_120",92,"sound","a",674,0.5,0.75,0,0
"TYS_120",93,"sound","a",0,0.5,0.75,0,0
"TYS_120",94,"sound","a",592,0.5,0.75,0,0
"TYS_120",95,"label","a",0,-0.5,0.75,0,0
"TYS_120",96,"label","a",420,-0.5,0.75,0,0
"TYS_120",97,"label","a",90,-0.5,0.75,0,0
"TYS_120",98,"label","a",0,-0.5,0.75,0,0
"TYS_120",99,"sound","a",0,0.5,0.75,0,0
"TYS_120",100,"sound","a",0,0.5,0.75,0,0
"TYS_120",101,"sound","a",0,0.5,0.75,0,0
"TYS_120",102,"sound","a",0,0.5,0.75,0,0
"TYS_120",103,"label","a",210,-0.5,0.75,0,0
"TYS_120",104,"label","a",168,-0.5,0.75,0,0
"TYS_120",105,"label","a",0,-0.5,0.75,0,0
"TYS_120",106,"label","a",590,-0.5,0.75,0,0
"TYS_120",107,"sound","a",166,0.5,0.75,0,0
"TYS_120",108,"sound","a",390,0.5,0.75,0,0
"TYS_120",109,"sound","a",0,0.5,0.75,0,0
"TYS_120",110,"sound","a",0,0.5,0.75,0,0
"TYS_120",111,"label","a",1048,-0.5,0.75,0,0
"TYS_120",112,"label","a",190,-0.5,0.75,0,0
"TYS_120",113,"label","a",0,-0.5,0.75,0,0
"TYS_120",114,"label","a",590,-0.5,0.75,0,0
"TYS_120",115,"sound","a",256,0.5,0.75,0,0
"TYS_120",116,"sound","a",0,0.5,0.75,0,0
"TYS_120",117,"sound","a",0,0.5,0.75,0,0
"TYS_120",118,"sound","a",150,0.5,0.75,0,0
"TYS_120",119,"label","a",0,-0.5,0.75,0,0
"TYS_120",120,"label","a",226,-0.5,0.75,0,0
"TYS_120",121,"label","a",198,-0.5,0.75,0,0
