"name","ROW_ID","category","cueType","sound_file","block","trialIndex_new","sinceImageOnset","eventStart","eventEnd","eventImageFile","eventImageLoc","zSound","ordered_sound","validRT","validDur","valid","cueTypeC"
"TYS_120",12,"baby","sound","baby_sound.wav",1,8,661.051869,433.051869,661.051869,"baby_pic_sound.jpg","right_up",0.910446300911537,"a",TRUE,TRUE,TRUE,0.5
"TYS_120",120,"dog","label","dog_label.wav",6,101,632.779956,222.779956,632.779956,"dog_pic_sound.jpg","right_up",0.253270995377942,"b",TRUE,TRUE,TRUE,-0.5
"TYS_120",121,"dog","label","dog_label.wav",7,123,538.176954,288.176954,538.176954,"dog_pic_neither.jpg","right_up",-0.4618471092186,"c",FALSE,TRUE,FALSE,-0.5
"TYS_120",122,"dog","label","dog_label.wav",8,142,524.698257,356.698257,524.698257,"dog_pic_neither.jpg","right_up",-0.4618471092186,"c",TRUE,TRUE,TRUE,-0.5
"TYS_120",123,"cat","sound","cat_sound.wav",6,104,482.812792,314.812792,482.812792,"cat_pic_label.jpg","right_up",-0.0592156525463789,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",124,"cat","sound","cat_sound.wav",8,157,511.839449,319.839449,511.839449,"cat_pic_neither.jpg","right_up",-1.36196000856672,"d",TRUE,TRUE,TRUE,0.5
"TYS_120",125,"cat","sound","cat_sound.wav",7,134,549.367607,305.367607,549.367607,"cat_pic_sound.jpg","left_up",0.45398666952224,"b",TRUE,TRUE,TRUE,0.5
"TYS_120",126,"cat","sound","cat_sound.wav",7,136,446.967483,288.967483,446.967483,"cat_pic_both.jpg","right_up",0.967188991590859,"a",TRUE,TRUE,TRUE,0.5
"TYS_120",127,"cat","label","cat_label.wav",6,105,595.076323,457.076323,595.076323,"cat_pic_label.jpg","right_down",-0.0592156525463789,"c",TRUE,TRUE,TRUE,-0.5
"TYS_120",128,"cat","label","cat_label.wav",7,130,551.975667,291.975667,551.975667,"cat_pic_label.jpg","right_up",-0.0592156525463789,"c",TRUE,TRUE,TRUE,-0.5
"TYS_120",129,"cat","label","cat_label.wav",7,133,583.688021,433.688021,583.688021,"cat_pic_label.jpg","left_up",-0.0592156525463789,"c",TRUE,TRUE,TRUE,-0.5
"TYS_120",13,"baby","sound","baby_sound.wav",4,74,500.184357,268.184357,500.184357,"baby_pic_neither.jpg","right_up",-0.971142720972306,"d",TRUE,TRUE,TRUE,0.5
"TYS_120",130,"cat","label","cat_label.wav",6,107,694.579482,380.579482,694.579482,"cat_pic_neither.jpg","left_up",-1.36196000856672,"d",TRUE,TRUE,TRUE,-0.5
"TYS_120",131,"key","sound","key_sound.wav",5,86,702.851653,476.851653,702.851653,"key_pic_label.jpg","right_up",-1.10210204166552,"d",TRUE,TRUE,TRUE,0.5
"TYS_120",132,"key","sound","key_sound.wav",5,84,516.907692,416.907692,516.907692,"key_pic_neither.jpg","right_up",-0.0619158450373888,"b",TRUE,TRUE,TRUE,0.5
"TYS_120",133,"key","sound","key_sound.wav",8,145,577.951014,343.951014,577.951014,"key_pic_sound.jpg","right_down",-0.160981197097211,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",134,"key","sound","key_sound.wav",5,83,807.991922,309.991922,807.991922,"key_pic_sound.jpg","right_up",-0.160981197097211,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",135,"key","label","key_label.wav",5,81,487.151295,279.151295,487.151295,"key_pic_both.jpg","right_up",1.32499908380012,"a",TRUE,TRUE,TRUE,-0.5
"TYS_120",136,"key","label","key_label.wav",7,132,482.019603,314.019603,482.019603,"key_pic_label.jpg","right_up",-1.10210204166552,"d",TRUE,TRUE,TRUE,-0.5
"TYS_120",137,"key","label","key_label.wav",7,126,514.130652,272.130652,514.130652,"key_pic_neither.jpg","right_up",-0.0619158450373888,"b",TRUE,TRUE,TRUE,-0.5
"TYS_120",138,"key","label","key_label.wav",7,140,634.331226,268.331226,634.331226,"key_pic_sound.jpg","right_up",-0.160981197097211,"c",TRUE,TRUE,TRUE,-0.5
"TYS_120",139,"chain","sound","chain_sound.wav",5,100,518.844962,436.844962,518.844962,"chain_pic_label.jpg","right_up",-0.48097932166749,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",14,"baby","sound","baby_sound.wav",3,49,653.982997,331.982997,653.982997,"baby_pic_neither.jpg","right_down",-0.971142720972306,"d",TRUE,TRUE,TRUE,0.5
"TYS_120",140,"chain","sound","chain_sound.wav",5,90,561.825693,351.825693,561.825693,"chain_pic_neither.jpg","right_up",-0.815573632392701,"d",TRUE,TRUE,TRUE,0.5
"TYS_120",141,"chain","sound","chain_sound.wav",8,150,933.128655,801.128655,933.128655,"chain_pic_label.jpg","left_up",-0.48097932166749,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",142,"chain","sound","chain_sound.wav",5,92,552.981675,328.981675,552.981675,"chain_pic_sound.jpg","right_down",1.44293796500247,"a",TRUE,TRUE,TRUE,0.5
"TYS_120",143,"chain","label","chain_label.wav",5,99,449.948251,287.948251,449.948251,"chain_pic_label.jpg","right_down",-0.48097932166749,"c",TRUE,TRUE,TRUE,-0.5
"TYS_120",144,"chain","label","chain_label.wav",6,112,636.970639,504.970639,636.970639,"chain_pic_sound.jpg","left_up",1.44293796500247,"a",TRUE,TRUE,TRUE,-0.5
"TYS_120",145,"chain","label","chain_label.wav",8,156,991.996169,569.996169,991.996169,"chain_pic_sound.jpg","left_up",1.44293796500247,"a",TRUE,TRUE,TRUE,-0.5
"TYS_120",146,"chain","label","chain_label.wav",5,82,498.130292,254.130292,498.130292,"chain_pic_label.jpg","right_up",-0.48097932166749,"c",TRUE,TRUE,TRUE,-0.5
"TYS_120",147,"bowling","sound","bowling_sound.wav",7,131,596.803486,408.803486,596.803486,"bowling_pic_neither.jpg","left_up",-0.290185889242108,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",148,"bowling","sound","bowling_sound.wav",8,158,726.975799,340.975799,726.975799,"bowling_pic_neither.jpg","right_up",-0.290185889242108,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",149,"bowling","sound","bowling_sound.wav",8,152,848.67394,532.67394,848.67394,"bowling_pic_sound.jpg","right_up",0.896068515132223,"a",TRUE,TRUE,TRUE,0.5
"TYS_120",15,"baby","label","baby_label.wav",1,3,416.976124,248.976124,416.976124,"baby_pic_neither.jpg","right_up",-0.971142720972306,"d",TRUE,TRUE,TRUE,-0.5
"TYS_120",150,"bowling","sound","bowling_sound.wav",5,96,495.941252,341.941252,495.941252,"bowling_pic_neither.jpg","right_up",-0.290185889242108,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",151,"bowling","label","bowling_label.wav",8,159,780.113876,590.113876,780.113876,"bowling_pic_neither.jpg","right_down",-0.290185889242108,"c",TRUE,TRUE,TRUE,-0.5
"TYS_120",152,"bowling","label","bowling_label.wav",6,106,741.140187,455.140187,741.140187,"bowling_pic_label.jpg","right_up",-1.28510893807219,"d",TRUE,TRUE,TRUE,-0.5
"TYS_120",153,"bowling","label","bowling_label.wav",7,125,667.145252,401.145252,667.145252,"bowling_pic_label.jpg","right_up",-1.28510893807219,"d",TRUE,TRUE,TRUE,-0.5
"TYS_120",154,"bowling","label","bowling_label.wav",6,113,687.147439,443.147439,687.147439,"bowling_pic_label.jpg","right_up",-1.28510893807219,"d",TRUE,TRUE,TRUE,-0.5
"TYS_120",155,"car","sound","car_sound.wav",5,93,567.195773,433.195773,567.195773,"car_pic_sound.jpg","left_up",1.27619712812515,"a",TRUE,TRUE,TRUE,0.5
"TYS_120",156,"car","sound","car_sound.wav",6,102,465.078086,307.078086,465.078086,"car_pic_neither.jpg","right_up",-1.13697562323877,"d",TRUE,TRUE,TRUE,0.5
"TYS_120",157,"car","sound","car_sound.wav",5,87,397.408992,235.408992,397.408992,"car_pic_label.jpg","right_up",-0.255239425625031,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",158,"car","sound","car_sound.wav",5,98,489.104658,291.104658,489.104658,"car_pic_sound.jpg","right_up",1.27619712812515,"a",TRUE,TRUE,TRUE,0.5
"TYS_120",159,"car","label","car_label.wav",8,153,560.914099,382.914099,560.914099,"car_pic_neither.jpg","right_up",-1.13697562323877,"d",TRUE,TRUE,TRUE,-0.5
"TYS_120",16,"baby","label","baby_label.wav",1,5,472.630441,322.630441,472.630441,"baby_pic_both.jpg","right_up",0.813332028814307,"b",TRUE,TRUE,TRUE,-0.5
"TYS_120",160,"car","label","car_label.wav",5,95,563.371122,253.371122,563.371122,"car_pic_label.jpg","right_up",-0.255239425625031,"c",TRUE,TRUE,TRUE,-0.5
"TYS_120",161,"car","label","car_label.wav",8,144,980.235159,646.235159,980.235159,"car_pic_label.jpg","left_up",-0.255239425625031,"c",TRUE,TRUE,TRUE,-0.5
"TYS_120",162,"car","label","car_label.wav",6,119,547.050536,283.050536,547.050536,"car_pic_sound.jpg","right_up",1.27619712812515,"a",TRUE,TRUE,TRUE,-0.5
"TYS_120",163,"scissors","sound","scissors_sound.wav",8,155,906.131625,600.131625,906.131625,"scissors_pic_both.jpg","right_up",0.901652824965917,"a",TRUE,TRUE,TRUE,0.5
"TYS_120",164,"scissors","sound","scissors_sound.wav",6,115,927.519679,647.519679,927.519679,"scissors_pic_sound.jpg","left_up",0.785310524970315,"b",TRUE,TRUE,TRUE,0.5
"TYS_120",165,"scissors","sound","scissors_sound.wav",8,143,1920.82572,1150.82572,1920.82572,"scissors_pic_sound.jpg","left_up",0.785310524970315,"b",TRUE,TRUE,TRUE,0.5
"TYS_120",166,"scissors","sound","scissors_sound.wav",6,103,473.844767,229.844767,473.844767,"scissors_pic_label.jpg","right_up",-0.572016308311711,"c",TRUE,TRUE,TRUE,0.5
"TYS_120",167,"scissors","label","scissors_label.wav",6,118,981.705606,707.705606,981.705606,"scissors_pic_sound.jpg","right_down",0.785310524970315,"b",TRUE,TRUE,TRUE,-0.5
"TYS_120",168,"scissors","label","scissors_label.wav",7,137,476.88666,280.88666,476.88666,"scissors_pic_sound.jpg","right_up",0.785310524970315,"b",TRUE,TRUE,TRUE,-0.5
"TYS_120",169,"scissors","label","scissors_label.wav",5,89,516.847134,228.847134,516.847134,"scissors_pic_neither.jpg","right_up",-1.11494704162452,"d",TRUE,TRUE,TRUE,-0.5
"TYS_120",17,"baby","label","baby_label.wav",1,6,529.766679,313.766679,529.766679,"baby_pic_neither.jpg","right_up",-0.971142720972306,"d",TRUE,TRUE,TRUE,-0.5
"TYS_120",170,"scissors","label","scissors_label.wav",5,88,432.995081,228.995081,432.995081,"scissors_pic_sound.jpg","right_up",0.785310524970315,"b",TRUE,TRUE,TRUE,-0.5
"TYS_120",18,"baby","label","baby_label.wav",3,42,669.926465,491.926465,669.926465,"baby_pic_neither.jpg","right_up",-0.971142720972306,"d",TRUE,TRUE,TRUE,-0.5
"TYS_120",19,"bee","sound","bee_sound.wav",2,33,500.86987,318.86987,500.86987,"bee_pic_sound.jpg","right_down",0.513816414841703,"b",TRUE,TRUE,TRUE,0.5
